position	x	n	folded
31	2	40	0
70	4	40	0
200	40	40	0
290	40	40	0
365	40	40	0
509	2	40	0
605	40	40	0
677	40	40	0
719	40	40	0
772	40	40	0
790	40	40	0
791	40	40	0
805	1	40	0
816	39	40	0
829	40	40	0
854	18	40	0
865	39	40	0
865	39	40	0
881	39	40	0
899	1	40	0
903	39	40	0
929	39	40	0
1024	39	40	0
1026	1	40	0
1054	1	40	0
1098	1	40	0
1104	1	40	0
1170	1	40	0
1263	1	40	0
1323	24	40	0
1344	1	40	0
1463	40	40	0
1470	21	40	0
1483	39	40	0
1509	39	40	0
1553	40	40	0
1576	1	40	0
1595	39	40	0
1616	39	40	0
1633	40	40	0
1635	39	40	0
1674	1	40	0
1680	39	40	0
1705	40	40	0
1787	40	40	0
1806	40	40	0
1813	6	40	0
1895	13	40	0
1944	40	40	0
2009	39	40	0
2032	1	40	0
2094	25	40	0
2130	1	40	0
2192	40	40	0
2203	1	40	0
2258	40	40	0
2258	40	40	0
2260	5	40	0
2280	40	40	0
2504	40	40	0
2592	40	40	0
2597	5	40	0
2677	1	40	0
2705	1	40	0
2765	1	40	0
2805	2	40	0
2810	40	40	0
2897	40	40	0
2944	40	40	0
2963	5	40	0
3017	40	40	0
3032	40	40	0
3033	40	40	0
3047	1	40	0
3155	40	40	0
3156	40	40	0
3172	40	40	0
3217	40	40	0
3268	11	40	0
3268	40	40	0
3271	40	40	0
3328	40	40	0
3408	40	40	0
3475	40	40	0
3566	1	40	0
3692	40	40	0
3694	40	40	0
3702	40	40	0
3720	40	40	0
3753	40	40	0
3849	40	40	0
3870	40	40	0
3900	40	40	0
3960	40	40	0
3996	40	40	0
4026	40	40	0
4071	40	40	0
4179	29	40	0
4220	40	40	0
4251	40	40	0
4352	4	40	0
4395	40	40	0
4411	6	40	0
4446	40	40	0
4538	40	40	0
4549	40	40	0
4674	5	40	0
4734	40	40	0
4749	6	40	0
4760	40	40	0
4773	40	40	0
4820	25	40	0
4824	40	40	0
4826	7	40	0
4869	40	40	0
4871	1	40	0
4872	40	40	0
4922	8	40	0
4950	40	40	0
4963	40	40	0
4995	40	40	0
5014	40	40	0
5036	40	40	0
5097	9	40	0
5104	40	40	0
5120	40	40	0
5164	5	40	0
5203	40	40	0
5233	40	40	0
5312	1	40	0
5328	39	40	0
5364	9	40	0
5394	1	40	0
5489	1	40	0
5535	40	40	0
5564	39	40	0
5594	18	40	0
5602	39	40	0
5606	40	40	0
5621	39	40	0
5637	40	40	0
5710	1	40	0
5737	1	40	0
5779	39	40	0
5804	39	40	0
5851	39	40	0
5856	1	40	0
5867	7	40	0
5874	1	40	0
5905	40	40	0
5971	40	40	0
6076	1	40	0
6099	1	40	0
6153	40	40	0
6233	40	40	0
6264	39	40	0
6272	1	40	0
6291	39	40	0
6315	1	40	0
6319	39	40	0
6365	40	40	0
6393	8	40	0
6413	2	40	0
6446	2	40	0
6447	11	40	0
6541	40	40	0
6579	40	40	0
6606	40	40	0
6731	1	40	0
6742	39	40	0
6764	1	40	0
6790	1	40	0
6820	2	40	0
6849	39	40	0
6874	1	40	0
6875	35	40	0
6887	1	40	0
6893	1	40	0
6925	1	40	0
6948	1	40	0
6948	40	40	0
6952	40	40	0
6963	1	40	0
6984	39	40	0
6992	40	40	0
7008	40	40	0
7013	39	40	0
7016	39	40	0
7032	1	40	0
7056	1	40	0
7059	39	40	0
7089	40	40	0
7116	40	40	0
7172	1	40	0
7186	1	40	0
